ticker,cik,observed_delist_date,crsp_code,bucket,confidence,reason,delist_filing_form,delist_filing_date,anchor_8k_items,dereg_form,resolved_name,resolution_source,payout_per_share,payout_source,payout_confidence
AABA,1011006,2019-11-06,400,liquidation,medium,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",25-NSE,2019-10-07,"7.01,9.01",15-12G,ALTABA INC.  (CIK 0001011006),efts,,,
AAN,1821393,2024-10-03,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2024-10-04,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,"Aaron's Company, Inc.  (CIK 0001821393)",efts,10.10,8K_2.01,high
ABMD,815094,2023-01-03,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2022-12-22,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,ABIOMED INC  (CIK 0000815094),efts,380.00,8K_2.01,high
ACAS,817473,2017-01-11,231,merger,medium,"M&A 2.01+3.01+5.01 (acquired by external acquirer) (no Form 25 anchor, 8-K-only)",,,"2.01,3.01,3.03,5.01,5.02,7.01,9.01",15-12G,"AMERICAN CAPITAL, LTD  (CIK 0000817473)",efts,6.48,8K_2.01,high
ACC,1283630,2022-08-09,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2022-08-10,"1.02,2.01,3.01,3.03,5.01,5.02,8.01,9.01",15-12G,AMERICAN CAMPUS COMMUNITIES INC,name_search,65.47,8K_2.01,high
ACF,804269,2011-10-10,304,exchange_transfer,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),25-NSE,2010-10-01,,15-12B,"General Motors Financial Company, Inc.",name_search,,,
ACS,2135,2011-02-14,400,liquidation,medium,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",25-NSE,2010-02-08,5.02,15-12B,AFFILIATED COMPUTER SERVICES INC,name_search,,,
AET,1122304,2018-11-28,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2018-11-29,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,,manual,,none,none
AF,910322,2017-10-02,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2017-10-02,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,ASTORIA FINANCIAL CORP,name_search,,none,none
AFSI,1365555,2018-11-29,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2018-11-29,"2.01,3.01,3.02,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,"Amtrust Financial Services, Inc.  (CIK 0001365555)",efts,14.75,8K_2.01,high
AGN,1578845,2020-05-08,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2020-05-11,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,Allergan plc  (CIK 0001578845),efts_frequency,,none,none
AGP,1064863,2012-12-21,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2012-12-28,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,AMERIGROUP CORP,name_search,92.00,8K_2.01,high
AH,1472595,2014-04-22,304,exchange_transfer,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),25-NSE,2014-08-01,,15-12G,,manual,,,
AHL,1267395,2026-03-05,400,liquidation,medium,"Form 25 + Form 15, no merger 8-K: voluntary dereg / liquidation",25-NSE,2026-02-24,,15-12G,ASPEN INSURANCE HOLDINGS LTD,name_search,,,
AIRC,1820877,2024-06-28,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2024-06-28,"1.01,1.02,2.01,2.03,3.01,3.03,5.01,5.02,5.03,7.01,8.01,9.01",15-12G,Apartment Income REIT Corp.,name_search,39.12,8K_2.01,high
AKS,918160,2020-03-13,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2020-03-13,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,AK STEEL HOLDING CORP  (CIK 0000918160),efts,,none,none
ALD,,2019-03-14,600,expiration,high,"Non-equity security (asset_type='etf', name='wisdomtree asia local debt fund na')",,,,,,,,,
ALEX,1545654,2026-03-12,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2026-03-13,"1.02,2.01,3.01,3.03,5.01,5.02,8.01,9.01",15-12G,,manual,20.85,8K_2.01,high
ALR,1145460,2017-10-19,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2017-10-03,"1.02,2.01,3.01,3.03,5.01,9.01",15-12B,ALERE INC.,name_search,51.00,8K_2.01,high
ALTR,1701732,2025-03-26,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2025-03-26,"1.01,1.02,2.01,2.04,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,Altair Engineering Inc.  (ALTR)  (CIK 0001701732),efts,113.00,8K_2.01,high
ALXN,899866,2021-07-28,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2021-07-21,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,"ALEXION PHARMACEUTICALS, INC.  (CIK 0000899866)",efts,,none,none
AMED,896262,2025-08-14,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2025-08-14,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,AMEDISYS INC  (AMED)  (CIK 0000896262),efts,,none,none
AMSG,895930,2016-12-09,400,liquidation,medium,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",25-NSE,2016-12-01,"8.01,9.01",15-15D,AMSURG CORP  (CIK 0000895930),efts,,,
ANAT,1801075,2022-09-08,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2022-05-25,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,American National Group Inc,name_search,190.00,8K_2.01,high
ANN,874214,2015-08-31,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2015-08-25,"2.01,3.01,3.03,5.01,5.02,5.03",15-12B,ANN INC.,name_search,,none,none
AOL,1468516,2015-06-22,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2015-06-23,"1.01,2.01,2.04,3.01,5.01,5.02,5.03,8.01,9.01",15-12B,AOL Inc.  (CIK 0001468516),efts,50.00,8K_2.01,high
APLS,1492422,2026-05-14,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2026-05-14,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,7.01,8.01,9.01",15-12G,"Apellis Pharmaceuticals, Inc.",company_tickers,41.00,8K_2.01,high
APOL,929887,2017-02-09,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2017-02-01,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12G,APOLLO EDUCATION GROUP INC  (CIK 0000929887),efts,10.00,8K_2.01,high
ARG,804212,2016-05-31,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2016-05-23,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,7.01,9.01",15-15D,AIRGAS INC,name_search,143.00,8K_2.01,high
ARIA,884731,2017-02-17,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2017-02-16,"1.01,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,ARIAD PHARMACEUTICALS INC  (CIK 0000884731),efts,24.00,8K_2.01,high
ARNC,1790982,2023-08-17,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2023-08-18,"1.01,1.02,2.01,2.03,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12G,Arconic Corporation,name_search,30.00,8K_2.01,high
ARRS,1645494,2019-04-04,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2019-04-04,"1.02,2.01,3.01,3.03,5.01,5.02,9.01",15-12B,ARRIS International plc  (CIK 0001645494),efts,31.75,8K_2.01,high
ASBC,7789,2014-12-22,304,exchange_transfer,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),25,2014-12-22,,15-12G,ASSOCIATED BANC-CORP,name_search,,,
AT,1419242,2021-05-14,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2021-05-17,"1.02,2.01,3.01,3.03,5.01,5.02,8.01,9.01",15-12B,ATLANTIC POWER CORP,name_search,3.03,8K_2.01,high
ATH,1527469,2021-12-31,304,exchange_transfer,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),25-NSE,2022-01-03,,15-12B,Athene Holding Ltd.,name_search,,,
ATHL,1574648,2014-11-13,570,compliance_failure,high,"Compliance failure (3.01 alone, no M&A indicators)",25-NSE,2014-11-14,"3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,Athlon Energy Inc.,name_search,,,
ATHN,1131096,2019-02-11,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2019-02-11,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,7.01,9.01",15-12B,ATHENAHEALTH INC  (CIK 0001131096),efts,135.00,8K_1.01,medium
ATML,872448,2016-04-12,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2016-04-04,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,ATMEL CORP  (CIK 0000872448),efts,7.00,8K_2.01,high
ATVI,718877,2023-10-13,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2023-10-13,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,"Activision Blizzard, Inc.",name_search,95.00,8K_2.01,high
ATW,8411,2017-10-19,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2017-10-06,"1.02,2.01,3.01,3.03,5.01,5.02,9.01",15-12B,ATWOOD OCEANICS INC,name_search,,none,none
AVLR,1348036,2022-10-28,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2022-10-19,"1.01,1.02,2.01,2.03,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12G,"AVALARA, INC.",name_search,93.50,8K_1.01,medium
AVP,8868,2020-01-03,304,exchange_transfer,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),25-NSE,2020-01-06,,15-12B,AVON PRODUCTS INC,name_search,,,
AWH,1163348,2017-08-28,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25,2017-07-17,"1.02,2.01,3.01,3.03,5.01",15-12B,"Allied World Assurance Co Holdings, GmbH",name_search,23.00,8K_2.01,high
AYE,3673,2011-11-30,570,compliance_failure,high,"Compliance failure (3.01 alone, no M&A indicators)",25-NSE,2011-03-02,"3.01,3.03,5.01,5.02,5.03,9.01",15-15D,"ALLEGHENY ENERGY, INC",name_search,,,
AYR,1362988,2020-03-27,304,exchange_transfer,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),25-NSE,2020-03-30,,15-12B,Aircastle LTD,company_tickers,,,
AYX,1689923,2024-03-18,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2024-03-19,"1.01,2.01,2.03,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12G,"Alteryx, Inc.",name_search,48.25,DEFM14A,medium
AZEK,1782754,2025-07-01,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2025-07-01,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12G,AZEK Co Inc.  (AZEK)  (CIK 0001782754),efts,26.45,8K_2.01,high
AZPN,1897982,2025-03-12,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2025-03-12,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,"Aspen Technology, Inc.  (AZPN)  (CIK 0001897982)",efts,265.00,8K_2.01,high
BCR,9892,2017-12-29,570,compliance_failure,high,"Compliance failure (3.01 alone, no M&A indicators)",25-NSE,2017-12-29,"1.01,1.02,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,BARD C R INC /NJ/  (CIK 0000009892),efts_frequency,,,
BEAV,861361,2017-04-21,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2017-04-13,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,B/E AEROSPACE INC  (CIK 0000861361),efts,34.10,8K_2.01,high
BERY,1378992,2025-04-29,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2025-04-30,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,"BERRY GLOBAL GROUP, INC.",name_search,,none,none
BFA,14693,2018-10-29,304,exchange_transfer,medium,Continued 10-K/Q filings >180d after delist (moved to OTC or spun off),,,,15-12B,,manual,,,
BIVV,1681689,2018-03-19,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2018-03-08,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,Bioverativ Inc.  (CIK 0001681689),efts,105.00,8K_2.01,high
BJS,864328,2011-05-09,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2010-04-29,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,BJ SERVICES CO,name_search,,none,none
BKI,1627014,2023-09-05,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2023-09-05,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12G,Black Knight Inc - Class A,name_search,74.68,DEFM14A,medium
BKS,890491,2019-08-19,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2019-08-07,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,BARNES & NOBLE INC  (CIK 0000890491),efts_frequency,6.50,8K_2.01,high
BLUE,1293971,2025-06-02,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2025-06-02,"1.01,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,"bluebird bio, Inc.  (BLUE)  (CIK 0001293971)",efts,5.00,8K_2.01,high
BMS,11199,2019-06-28,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2019-06-11,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,"Amcor Flexibles North America, Inc.",name_search,,none,none
BPYU,1496048,2021-07-26,570,compliance_failure,high,"Compliance failure (3.01 alone, no M&A indicators)",25-NSE,2021-07-26,"1.01,3.01,3.02,5.02",15-12B,Brookfield Property REIT Inc.  (CIK 0001496048),efts,,,
BRCD,1009626,2017-11-20,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2017-11-17,"1.01,1.02,2.01,2.04,3.01,5.01,5.02,8.01,9.01",15-12G,BROCADE COMMUNICATIONS SYSTEMS INC  (CIK 0001009626),efts,12.75,DEFM14A,medium
BRL,10081,2008-12-22,400,liquidation,medium,"Form 25 + Form 15, 8-K without M&A items: liquidation/voluntary dereg",25-NSE,2008-12-23,"8.01,9.01",15-12G,BARR PHARMACEUTICALS INC,name_search,,,
BWC,1854863,2023-08-11,580,compliance_failure,high,"Compliance failure (3.01 alone, no M&A indicators) + NT 10-K/Q in prior year (delinquent filer 580)",25-NSE,2023-08-04,"3.01,9.01",15-12G,Blue Whale Acquisition Corp I  (CIK 0001854863),efts,,,
BXLT,1620546,2016-06-16,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2016-06-03,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,Baxalta Inc,name_search,18.00,8K_2.01,high
BYI,2491,2014-12-01,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2014-11-24,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,"BALLY TECHNOLOGIES, INC.",name_search,83.30,8K_2.01,high
CAA,878560,2018-02-13,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2018-02-13,"2.01,3.01,3.03,5.01,5.07",15-12B,"CalAtlantic Group, LLC",name_search,48.26,8K_2.01,high
CAB,1267130,2019-03-01,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2017-09-26,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,CABELAS INC,name_search,61.50,DEFM14A,medium
CAVM,1175609,2018-07-09,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2018-07-06,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,"CAVIUM, INC.  (CIK 0001175609)",efts,,none,none
CBH,,2024-08-26,600,expiration,high,"Non-equity security (asset_type='etf', name='virtus convertible & income 2024 target term fund')",,,,,,,,,
CBI,1027884,2018-05-11,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2018-05-11,"1.02,2.01,2.03,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,CHICAGO BRIDGE &amp; IRON CO N V,name_search,,none,none
CBST,912183,2015-01-21,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2015-01-22,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12B,CUBIST PHARMACEUTICALS INC  (CIK 0000912183),efts,102.00,8K_2.01,high
CCP,1639947,2017-08-28,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2017-08-17,"1.02,2.01,3.01,3.03,5.01,5.02,7.01,9.01",15-12B,"Care Capital Properties, Inc.",name_search,,none,none
CDK,1609702,2022-09-08,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2022-07-06,"1.01,1.02,2.01,2.03,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12G,"CDK Global, Inc.  (CIK 0001609702)",efts,54.87,8K_2.01,high
CELG,816284,2019-11-22,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2019-11-20,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,CELGENE CORP /DE/  (CIK 0000816284),efts,9.00,8K_2.01,high
CEN,,2023-10-06,600,expiration,high,"Non-equity security (asset_type='etf', name='center coast brookfield mlp & energy infrastructure fund')",,,,,,,,,
CERE,1805387,2024-08-01,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2024-08-01,"1.01,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12G,"Cerevel Therapeutics Holdings, Inc.  (CIK 0001805387)",efts,45.00,8K_2.01,high
CERN,804753,2022-09-08,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2022-06-08,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,CERNER Corp,name_search,95.00,8K_2.01,high
CETV,925645,2020-10-13,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2020-10-13,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,CENTRAL EUROPEAN MEDIA ENTERPRISES LTD  (CIK 0000925645),efts,4.58,8K_2.01,high
CFLT,1699838,2026-03-17,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2026-03-17,"1.01,2.01,2.04,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12G,"Confluent, Inc.  (CFLT)  (CIK 0001699838)",efts,31.00,8K_2.01,high
CFN,1457543,2015-03-17,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2015-03-17,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,7.01,9.01",15-12B,CAREFUSION Corp,name_search,,none,none
CHAP,1346980,2020-10-14,580,compliance_failure,high,"Compliance failure (3.01 alone, no M&A indicators) + NT 10-K/Q in prior year (delinquent filer 580)",25-NSE,2020-09-01,3.01,15-12B,"Chaparral Energy, Inc.",name_search,,,
CHNG,1756497,2022-10-03,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2022-10-03,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,Change Healthcare Inc.  (CIK 0001756497),efts,25.75,DEFM14A,medium
CHS,897429,2024-01-05,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2024-01-05,"1.01,1.02,2.01,2.03,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12G,"CHICO'S FAS, INC.  (CIK 0000897429)",efts_frequency,7.60,8K_2.01,high
CHSI,1090403,2012-07-19,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2012-07-02,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,5.07,9.01",15-12B,"CATALYST HEALTH SOLUTIONS, INC.  (CIK 0001090403)",efts,,none,none
CIE,1471261,2017-12-14,470,liquidation,high,Bankruptcy (8-K item 1.03),25-NSE,2018-01-02,"1.03,2.04,3.01,9.01",15-12B,"Cobalt International Energy, Inc.",name_search,,,
CIT,1171825,2022-01-03,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2022-01-04,"2.01,3.01,3.03,5.01,5.02,8.01,9.01",15-15D,CIT GROUP INC  (CIK 0001171825),efts,,none,none
CIVI,1509589,2026-01-29,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2026-01-30,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",15-12G,"CIVITAS RESOURCES, INC.",name_search,,none,none
CKH,859598,2021-04-15,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2021-04-16,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,SEACOR HOLDINGS INC /NEW/,name_search,41.50,8K_2.01,high
CLGX,36047,2021-06-08,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2021-06-04,"1.01,1.02,2.01,3.01,5.01,5.02,5.03,8.01,9.01",15-12B,"CORELOGIC, INC.",name_search,80.00,8K_2.01,high
CLP,909111,2013-10-17,231,merger,high,M&A 2.01+3.01+5.01 (acquired by external acquirer),25-NSE,2013-10-02,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",15-12B,COLONIAL PROPERTIES TRUST,name_search,,none,none
